Postal Code,Borough_No,Borough,Latitude,Longitude
75001,1,Louvre,48.8625627018,2.33644336205
75002,2,Bourse,48.8682792225,2.34280254689
75003,3,Temple,48.86287238,2.3600009859
75004,4,Hôtel-de-Ville,48.8543414263,2.35762962032
75005,5,Panthéon,48.8444431505,2.35071460958
75006,6,Luxembourg,48.8491303586,2.33289799905
75007,7,Palais-Bourbon,48.8561744288,2.31218769148
75008,8,Élysée,48.8727208374,2.3125540224
75009,9,Opéra,48.8771635173,2.33745754348
75010,10,Entrepôt,48.8761300365,2.36072848785
75011,11,Popincourt,48.8590592213,2.3800583082
75012,12,Reuilly,48.8349743815,2.42132490078
75013,13,Gobelins,48.8283880317,2.36227244042
75014,14,Observatoire,48.8292445005,2.3265420442
75015,15,Vaugirard,48.8400853759,2.29282582242
75016,16,Passy,48.8603921054,2.26197078836
75017,17,Batignolles-Monceau,48.887326522,2.30677699057
75018,18,Buttes-Montmartre,48.892569268,2.34816051956
75019,19,Buttes-Chaumont,48.8870759966,2.38482096015
75020,20,Ménilmontant,48.8634605789,2.40118812928
